Master_Joint_Numbers,Target_Joint_Numbers,Match_Type,Confidence,Master_Total_Length,Target_Total_Length,Length_Difference,Master_Start_Distance,Target_Start_Distance,Is_Split,Is_Merge
337,3390,1-to-1,0.962,18.022,17.92,0.102,5351.296,5315.66,False,False
338,3400,1-to-1,0.956,8.144,8.09,0.054,5369.318,5333.58,False,False
339,3410,1-to-1,0.955,18.192,18.07,0.122,5377.462,5341.67,False,False
340,3420,1-to-1,0.963,17.868,17.77,0.098,5395.654,5359.74,False,False
341,3430,1-to-1,0.955,18.222,18.1,0.122,5413.522,5377.51,False,False
342,3440,1-to-1,0.962,18.172,18.07,0.102,5431.744,5395.61,False,False
343,3450,1-to-1,0.96,18.158,18.05,0.108,5449.916,5413.68,False,False
344,3460,1-to-1,0.952,18.2,18.07,0.13,5468.074,5431.73,False,False
345,3470,1-to-1,0.715,1.336,1.28,0.056,5486.274,5449.8,False,False
346,3480,1-to-1,0.64,0.938,0.99,0.052,5487.61,5451.08,False,False
347,3490,1-to-1,0.947,0.504,0.5,0.004,5488.548,5452.07,False,False
348,3500,1-to-1,0.92,4.634,4.69,0.056,5489.052,5452.57,False,False
349,3510,1-to-1,0.966,0.392,0.39,0.002,5493.686,5457.26,False,False
350,3520,1-to-1,0.969,4.692,4.67,0.022,5494.078,5457.65,False,False
351,3530,1-to-1,1.0,0.96,0.96,0.0,5498.77,5462.32,False,False
352,3540,1-to-1,0.933,0.594,0.6,0.006,5499.73,5463.28,False,False
353,3550,1-to-1,0.885,0.344,0.35,0.006,5500.324,5463.88,False,False
354,3560,1-to-1,0.95,2.66,2.68,0.02,5500.668,5464.23,False,False
355,3570,1-to-1,0.702,0.366,0.35,0.016,5503.328,5466.91,False,False
356,3580,1-to-1,1.0,0.61,0.61,0.0,5503.694,5467.26,False,False
357,3590,1-to-1,0.918,0.968,0.98,0.012,5504.304,5467.87,False,False
358,3600,1-to-1,0.997,4.682,4.68,0.002,5505.272,5468.85,False,False
359,3610,1-to-1,0.72,0.146,0.14,0.006,5509.954,5473.53,False,False
360,3620,1-to-1,0.92,4.624,4.68,0.056,5510.1,5473.67,False,False
377,"3630,3640,3650,3660",1-to-4,0.719,16.728,17.06,0.332,5662.754,5478.35,True,False
445,3670,1-to-1,0.965,8.664,8.71,0.046,6805.122,5495.41,False,False
